lat_deg,lon_deg,dose_pred_uSvph
-10.0,-179.99999,1.3815199
-10.0,-170.0,1.3834677
-10.0,-160.0,1.3806695
-10.0,-150.0,1.3970886
-10.0,-140.0,1.4095688
-10.0,-130.0,1.4385902
-10.0,-120.0,1.4359221
-10.0,-110.0,1.4580144
-10.0,-100.0,1.4880087
-10.0,-90.0,1.5095012
-10.0,-80.0,1.5220287
-10.0,-70.0,1.5456039
-10.0,-60.0,1.5483079
-10.0,-50.0,1.5656435
-10.0,-40.0,1.5766406
-10.0,-30.0,1.6169413
-10.0,-20.0,1.6184907
-10.0,-10.0,1.6574931
-10.0,0.0,1.6456842
-10.0,10.0,1.6237236
-10.0,20.0,1.5816023
-10.0,30.0,1.532634
-10.0,40.0,1.4919034
-10.0,50.0,1.4502022
-10.0,60.0,1.4190478
-10.0,70.0,1.3700473
-10.0,80.0,1.3445318
-10.0,90.0,1.3651752
-10.0,100.0,1.347995
-10.0,110.0,1.3357556
-10.0,120.0,1.3711807
-10.0,130.0,1.3733411
-10.0,140.0,1.3688991
-10.0,150.0,1.3756019
-10.0,160.0,1.3841114
-10.0,170.0,1.3812133
-5.0,-179.99999,1.3484426
-5.0,-170.0,1.346942
-5.0,-160.0,1.3776798
-5.0,-150.0,1.3836358
-5.0,-140.0,1.404318
-5.0,-130.0,1.4155368
-5.0,-120.0,1.4176271
-5.0,-110.0,1.4566021
-5.0,-100.0,1.4845734
-5.0,-90.0,1.4985944
-5.0,-80.0,1.5243797
-5.0,-70.0,1.52813
-5.0,-60.0,1.5211446
-5.0,-50.0,1.5298617
-5.0,-40.0,1.5336897
-5.0,-30.0,1.5412899
-5.0,-20.0,1.540975
-5.0,-10.0,1.5142305
-5.0,0.0,1.526599
-5.0,10.0,1.5193406
-5.0,20.0,1.4951451
-5.0,30.0,1.4453847
-5.0,40.0,1.3985875
-5.0,50.0,1.3553834
-5.0,60.0,1.3258823
-5.0,70.0,1.3043125
-5.0,80.0,1.2997754
-5.0,90.0,1.2883122
-5.0,100.0,1.2789414
-5.0,110.0,1.2845981
-5.0,120.0,1.3025877
-5.0,130.0,1.3025122
-5.0,140.0,1.3111973
-5.0,150.0,1.3222761
-5.0,160.0,1.3310995
-5.0,170.0,1.3356739
0.0,-179.99999,1.3215616
0.0,-170.0,1.3556147
0.0,-160.0,1.3758473
0.0,-150.0,1.3898948
0.0,-140.0,1.3990815
0.0,-130.0,1.4114326
0.0,-120.0,1.4336916
0.0,-110.0,1.4613194
0.0,-100.0,1.5014309
0.0,-90.0,1.5359609
0.0,-80.0,1.5332708
0.0,-70.0,1.528256
0.0,-60.0,1.5204365
0.0,-50.0,1.4993306
0.0,-40.0,1.495129
0.0,-30.0,1.4823674
0.0,-20.0,1.4842954
0.0,-10.0,1.464012
0.0,0.0,1.4380437
0.0,10.0,1.4489201
0.0,20.0,1.4278543
0.0,30.0,1.4021404
0.0,40.0,1.340508
0.0,50.0,1.318508
0.0,60.0,1.2930641
0.0,70.0,1.2785254
0.0,80.0,1.2619795
0.0,90.0,1.2481364
0.0,100.0,1.2397498
0.0,110.0,1.2474405
0.0,120.0,1.2511487
0.0,130.0,1.2694027
0.0,140.0,1.2790844
0.0,150.0,1.306644
0.0,160.0,1.3144861
0.0,170.0,1.3120027
5.0,-179.99999,1.3319467
5.0,-170.0,1.3647163
5.0,-160.0,1.3804257
5.0,-150.0,1.4006804
5.0,-140.0,1.4067736
5.0,-130.0,1.4281305
5.0,-120.0,1.4686104
5.0,-110.0,1.4955461
5.0,-100.0,1.5445342
5.0,-90.0,1.5794234
5.0,-80.0,1.5797627
5.0,-70.0,1.5513427
5.0,-60.0,1.1784979
5.0,-50.0,1.1610779
5.0,-40.0,1.139426
5.0,-30.0,1.1223967
5.0,-20.0,1.1200043
5.0,-10.0,1.1087841
5.0,0.0,1.095576
5.0,10.0,1.0546474
5.0,20.0,1.0425986
5.0,30.0,1.0259761
5.0,40.0,1.0210567
5.0,50.0,0.9992405
5.0,60.0,0.98362213
5.0,70.0,0.949009
5.0,80.0,0.9459728
5.0,90.0,0.93917555
5.0,100.0,0.9342079
5.0,110.0,0.94850546
5.0,120.0,0.95306927
5.0,130.0,0.96406764
5.0,140.0,0.9921092
5.0,150.0,1.0031509
5.0,160.0,1.0057174
5.0,170.0,1.0168173
10.0,-179.99999,1.0527037
10.0,-170.0,1.0753624
10.0,-160.0,1.0791218
10.0,-150.0,1.0889846
