n_points,n_peaks,h_star_km,pf_soft_ok,osc_metric,dose_max_uSvph,lat_deg,lon_deg,date
3,0,9.99987840004,False,0.0,3.4626,-60.0,40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-60.0,170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4619,-55.0,-179.99999,2002/01/00
3,0,9.99987840004,False,0.0,3.4564,-55.0,-170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4352,-55.0,-160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3873,-55.0,-150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3306,-55.0,-140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2292,-55.0,-130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0952,-55.0,-120.0,2002/01/00
3,0,9.99987840004,False,0.0,2.9539,-55.0,-110.0,2002/01/00
3,0,9.99987840004,False,0.0,2.8233,-55.0,-100.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7744,-55.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7365,-55.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7726,-55.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,2.8369,-55.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,2.9391,-55.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0637,-55.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.1794,-55.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2627,-55.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3333,-55.0,-10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3882,-55.0,0.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4136,-55.0,10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4331,-55.0,20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4449,-55.0,30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4542,-55.0,40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.461,-55.0,50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4627,-55.0,60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-55.0,160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-55.0,170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4273,-50.0,-179.99999,2002/01/00
3,0,9.99987840004,False,0.0,3.3757,-50.0,-170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2997,-50.0,-160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.1925,-50.0,-150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0774,-50.0,-140.0,2002/01/00
3,0,9.99987840004,False,0.0,2.9304,-50.0,-130.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7894,-50.0,-120.0,2002/01/00
3,0,9.99987840004,False,0.0,2.6499,-50.0,-110.0,2002/01/00
3,0,9.99987840004,False,0.0,2.5098,-50.0,-100.0,2002/01/00
3,0,9.99987840004,False,0.0,2.3638,-50.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,2.3237,-50.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,2.3911,-50.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,2.5172,-50.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,2.6866,-50.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,2.8549,-50.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.006,-50.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.1297,-50.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2252,-50.0,-10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2915,-50.0,0.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3399,-50.0,10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3689,-50.0,20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.391,-50.0,30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4159,-50.0,40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4366,-50.0,50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.45,-50.0,60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4599,-50.0,70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4624,-50.0,80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-50.0,90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-50.0,100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-50.0,110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-50.0,120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4629,-50.0,130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4628,-50.0,140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4626,-50.0,150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4604,-50.0,160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4513,-50.0,170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2511,-45.0,-179.99999,2002/01/00
3,0,9.99987840004,False,0.0,3.1514,-45.0,-170.0,2002/01/00
3,0,9.99987840004,False,0.0,3.022,-45.0,-160.0,2002/01/00
3,0,9.99987840004,False,0.0,2.8832,-45.0,-150.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7811,-45.0,-140.0,2002/01/00
3,0,9.99987840004,False,0.0,2.641,-45.0,-130.0,2002/01/00
3,0,9.99987840004,False,0.0,2.466,-45.0,-120.0,2002/01/00
3,0,9.99987840004,False,0.0,2.2254,-45.0,-110.0,2002/01/00
3,0,9.99987840004,False,0.0,2.1045,-45.0,-100.0,2002/01/00
3,0,9.99987840004,False,0.0,2.0456,-45.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,2.0797,-45.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,2.1624,-45.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,2.2675,-45.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,2.3974,-45.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,2.5923,-45.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,2.8085,-45.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,2.9556,-45.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.0845,-45.0,-10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.1481,-45.0,0.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2098,-45.0,10.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2377,-45.0,20.0,2002/01/00
3,0,9.99987840004,False,0.0,3.2818,-45.0,30.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3023,-45.0,40.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3318,-45.0,50.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3862,-45.0,60.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4145,-45.0,70.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4409,-45.0,80.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4517,-45.0,90.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4552,-45.0,100.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4583,-45.0,110.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4585,-45.0,120.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4546,-45.0,130.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4492,-45.0,140.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4361,-45.0,150.0,2002/01/00
3,0,9.99987840004,False,0.0,3.4028,-45.0,160.0,2002/01/00
3,0,9.99987840004,False,0.0,3.3486,-45.0,170.0,2002/01/00
3,0,9.99987840004,False,0.0,2.9054,-40.0,-179.99999,2002/01/00
3,0,9.99987840004,False,0.0,2.7769,-40.0,-170.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7179,-40.0,-160.0,2002/01/00
3,0,9.99987840004,False,0.0,2.5841,-40.0,-150.0,2002/01/00
3,0,9.99987840004,False,0.0,2.4498,-40.0,-140.0,2002/01/00
3,0,9.99987840004,False,0.0,2.2367,-40.0,-130.0,2002/01/00
3,0,9.99987840004,False,0.0,2.0994,-40.0,-120.0,2002/01/00
3,0,9.99987840004,False,0.0,1.9343,-40.0,-110.0,2002/01/00
3,0,9.99987840004,False,0.0,1.8476,-40.0,-100.0,2002/01/00
3,0,9.99987840004,False,0.0,1.88,-40.0,-90.0,2002/01/00
3,0,9.99987840004,False,0.0,1.9345,-40.0,-80.0,2002/01/00
3,0,9.99987840004,False,0.0,2.0277,-40.0,-70.0,2002/01/00
3,0,9.99987840004,False,0.0,2.1501,-40.0,-60.0,2002/01/00
3,0,9.99987840004,False,0.0,2.3116,-40.0,-50.0,2002/01/00
3,0,9.99987840004,False,0.0,2.4288,-40.0,-40.0,2002/01/00
3,0,9.99987840004,False,0.0,2.5706,-40.0,-30.0,2002/01/00
3,0,9.99987840004,False,0.0,2.7532,-40.0,-20.0,2002/01/00
3,0,9.99987840004,False,0.0,2.8906,-40.0,-10.0,2002/01/00
