lat_deg,lon_deg,h_km,dose_uSvph
-76.0,174.0,12.0,5.4237924
-76.0,176.0,12.0,5.3045526
-76.0,178.0,12.0,5.298771
-76.0,180.0,12.0,5.2525845
-74.0,-180.0,12.0,5.9450107
-74.0,-178.0,12.0,5.8306623
-74.0,-176.0,12.0,5.80854
-74.0,-174.0,12.0,6.0344214
-74.0,-172.0,12.0,5.998878
-74.0,-170.0,12.0,5.8679132
-74.0,-168.0,12.0,5.872273
-74.0,-166.0,12.0,5.832855
-74.0,-164.0,12.0,5.815259
-74.0,-162.0,12.0,5.791711
-74.0,-160.0,12.0,5.856287
-74.0,-158.0,12.0,6.0200315
-74.0,-156.0,12.0,5.9705677
-74.0,-154.0,12.0,5.905975
-74.0,-152.0,12.0,5.923552
-74.0,-150.0,12.0,5.896148
-74.0,-148.0,12.0,5.7190595
-74.0,-146.0,12.0,5.676521
-74.0,-144.0,12.0,5.714215
-74.0,-142.0,12.0,5.8626156
-74.0,-140.0,12.0,5.936492
-74.0,-138.0,12.0,6.033785
-74.0,-136.0,12.0,5.9636335
-74.0,-134.0,12.0,5.8645434
-74.0,-132.0,12.0,5.8432856
-74.0,-130.0,12.0,5.827668
-74.0,-128.0,12.0,5.8453116
-74.0,-126.0,12.0,5.6946254
-74.0,-124.0,12.0,5.6429844
-74.0,-122.0,12.0,5.736299
-74.0,-120.0,12.0,5.8872576
-74.0,-118.0,12.0,5.947116
-74.0,-116.0,12.0,5.8891
-74.0,-114.0,12.0,5.9542274
-74.0,-112.0,12.0,6.021856
-74.0,-110.0,12.0,5.9081388
-74.0,-108.0,12.0,5.804457
-74.0,-106.0,12.0,5.9182863
-74.0,-104.0,12.0,5.9978547
-74.0,-102.0,12.0,5.835662
-74.0,-100.0,12.0,5.877794
-74.0,-98.0,12.0,6.1578264
-74.0,-96.0,12.0,6.189573
-74.0,-94.0,12.0,5.8740897
-74.0,-92.0,12.0,5.7061257
-74.0,-90.0,12.0,5.7641363
-74.0,-88.0,12.0,5.750056
-74.0,-86.0,12.0,5.8355923
-74.0,-84.0,12.0,5.973424
-74.0,-82.0,12.0,6.0338583
-74.0,-80.0,12.0,5.8308845
-74.0,-78.0,12.0,5.784906
-74.0,-76.0,12.0,5.852182
-74.0,-74.0,12.0,5.7870255
-74.0,-72.0,12.0,5.746825
-74.0,-70.0,12.0,5.7869415
-74.0,-68.0,12.0,6.000855
-74.0,-66.0,12.0,5.979182
-74.0,-64.0,12.0,5.7502446
-74.0,-62.0,12.0,5.572446
-74.0,-60.0,12.0,5.8107405
-74.0,-58.0,12.0,5.620553
-74.0,-56.0,12.0,5.3018365
-74.0,-54.0,12.0,5.4403815
-74.0,-52.0,12.0,5.742388
-74.0,-50.0,12.0,5.8579307
-74.0,-48.0,12.0,5.6908684
-74.0,-46.0,12.0,5.519059
-74.0,-44.0,12.0,5.5835733
-74.0,-42.0,12.0,5.751323
-74.0,-40.0,12.0,5.9165554
-74.0,-38.0,12.0,5.8927274
-74.0,-36.0,12.0,5.6996727
-74.0,-34.0,12.0,5.644096
-74.0,-32.0,12.0,5.69274
-74.0,-30.0,12.0,5.7673573
-74.0,-28.0,12.0,6.012895
-74.0,-26.0,12.0,6.0871825
-74.0,-24.0,12.0,5.97964
-74.0,-22.0,12.0,5.8186193
-74.0,-20.0,12.0,5.764427
-74.0,-18.0,12.0,5.7601557
-74.0,-16.0,12.0,5.8365064
-74.0,-14.0,12.0,5.7511654
-74.0,-12.0,12.0,5.731576
